Pair,Horizon,Magnitude,Position,Threshold,Low,High
BTCUSD,2,3,13,2.0,0.30,0.55
BTCUSD,2,3,14,2.5,0.31,0.55
BTCUSD,2,3,15,3.0,0.35,0.54
BTCUSD,3,1,1,0.01,0.48,0.71
BTCUSD,3,1,2,0.02,0.47,0.72
BTCUSD,3,1,3,0.03,0.52,0.72
BTCUSD,3,1,4,0.04,0.54,0.70
BTCUSD,3,1,5,0.05,0.48,0.69
BTCUSD,3,2,6,0.1,0.47,0.71
BTCUSD,3,2,7,0.2,0.32,0.57
BTCUSD,3,2,8,0.3,0.26,0.51
BTCUSD,3,2,9,0.4,0.28,0.54
BTCUSD,3,2,10,0.5,0.29,0.48
BTCUSD,3,3,11,1.0,0.32,0.49
BTCUSD,3,3,12,1.5,0.31,0.46
BTCUSD,3,3,13,2.0,0.29,0.47
BTCUSD,3,3,14,2.5,0.28,0.48
BTCUSD,3,3,15,3.0,0.26,0.48
BTCUSD,4,1,1,0.01,0.44,0.68
BTCUSD,4,1,2,0.02,0.48,0.67
BTCUSD,4,1,3,0.03,0.50,0.67
BTCUSD,4,1,4,0.04,0.45,0.69
BTCUSD,4,1,5,0.05,0.45,0.70
BTCUSD,4,2,6,0.1,0.42,0.69
BTCUSD,4,2,7,0.2,0.22,0.49
BTCUSD,4,2,8,0.3,0.34,0.52
BTCUSD,4,2,9,0.4,0.29,0.48
BTCUSD,4,2,10,0.5,0.27,0.47
BTCUSD,4,3,11,1.0,0.14,0.47
BTCUSD,4,3,12,1.5,0.30,0.44
BTCUSD,4,3,13,2.0,0.26,0.46
BTCUSD,4,3,14,2.5,0.26,0.51
BTCUSD,4,3,15,3.0,0.30,0.47
BTCUSD,5,1,1,0.01,0.41,0.64
BTCUSD,5,1,2,0.02,0.46,0.68
BTCUSD,5,1,3,0.03,0.36,0.67
BTCUSD,5,1,4,0.04,0.43,0.67
BTCUSD,5,1,5,0.05,0.50,0.71
BTCUSD,5,2,6,0.1,0.47,0.66
BTCUSD,5,2,7,0.2,0.28,0.50
BTCUSD,5,2,8,0.3,0.25,0.50
BTCUSD,5,2,9,0.4,0.31,0.45
BTCUSD,5,2,10,0.5,0.27,0.45
BTCUSD,5,3,11,1.0,0.19,0.46
BTCUSD,5,3,12,1.5,0.24,0.44
BTCUSD,5,3,13,2.0,0.26,0.47
BTCUSD,5,3,14,2.5,0.28,0.46
BTCUSD,5,3,15,3.0,0.29,0.44
BTCUSD,6,1,1,0.01,0.38,0.59
BTCUSD,6,1,2,0.02,0.37,0.60
BTCUSD,6,1,3,0.03,0.46,0.58
BTCUSD,6,1,4,0.04,0.42,0.62
BTCUSD,6,1,5,0.05,0.35,0.60
BTCUSD,6,2,6,0.1,0.42,0.63
BTCUSD,6,2,7,0.2,0.37,0.60
