Pair,Horizon,Magnitude,Position,Threshold,Low,High
BTCUSD,1,1,2,0.02,0.95,0.99
BTCUSD,1,1,3,0.03,0.95,1.00
BTCUSD,1,1,4,0.04,0.96,1.00
BTCUSD,1,1,5,0.05,0.96,0.99
BTCUSD,1,2,6,0.1,0.33,0.68
BTCUSD,1,2,7,0.2,0.40,0.66
BTCUSD,1,2,8,0.3,0.39,0.64
BTCUSD,1,2,9,0.4,0.39,0.67
BTCUSD,1,2,10,0.5,0.35,0.64
BTCUSD,1,3,11,1.0,0.47,0.63
BTCUSD,1,3,12,1.5,0.37,0.62
BTCUSD,1,3,13,2.0,0.37,0.63
BTCUSD,1,3,14,2.5,0.49,0.61
BTCUSD,1,3,15,3.0,0.47,0.62
BTCUSD,2,1,1,0.01,0.52,0.81
BTCUSD,2,1,2,0.02,0.47,0.79
BTCUSD,2,1,3,0.03,0.57,0.78
BTCUSD,2,1,4,0.04,0.47,0.78
BTCUSD,2,1,5,0.05,0.46,0.77
BTCUSD,2,2,6,0.1,0.51,0.79
BTCUSD,2,2,7,0.2,0.27,0.53
BTCUSD,2,2,8,0.3,0.23,0.51
BTCUSD,2,2,9,0.4,0.27,0.50
BTCUSD,2,2,10,0.5,0.26,0.53
BTCUSD,2,3,11,1.0,0.23,0.51
BTCUSD,2,3,12,1.5,0.30,0.52
BTCUSD,2,3,13,2.0,0.27,0.53
BTCUSD,2,3,14,2.5,0.31,0.51
BTCUSD,2,3,15,3.0,0.16,0.54
BTCUSD,3,1,1,0.01,0.48,0.71
BTCUSD,3,1,2,0.02,0.34,0.72
BTCUSD,3,1,3,0.03,0.45,0.73
BTCUSD,3,1,4,0.04,0.31,0.73
BTCUSD,3,1,5,0.05,0.40,0.73
BTCUSD,3,2,6,0.1,0.36,0.72
BTCUSD,3,2,7,0.2,0.21,0.48
BTCUSD,3,2,8,0.3,0.30,0.51
BTCUSD,3,2,9,0.4,0.26,0.47
BTCUSD,3,2,10,0.5,0.29,0.47
BTCUSD,3,3,11,1.0,0.26,0.48
BTCUSD,3,3,12,1.5,0.22,0.47
BTCUSD,3,3,13,2.0,0.17,0.49
BTCUSD,3,3,14,2.5,0.23,0.46
BTCUSD,3,3,15,3.0,0.20,0.48
BTCUSD,4,1,1,0.01,0.31,0.67
BTCUSD,4,1,2,0.02,0.37,0.67
BTCUSD,4,1,3,0.03,0.37,0.71
BTCUSD,4,1,4,0.04,0.44,0.70
BTCUSD,4,1,5,0.05,0.31,0.68
BTCUSD,4,2,6,0.1,0.38,0.70
BTCUSD,4,2,7,0.2,0.25,0.45
